S.No,Crop,Seed Weight (gm),Soaking Time,Sprout Time,Growth Time (Days),Harvest Weight (gm),Nutritional Benefits,Suitable For (Pros),Not Suitable For (Cons),Seed,Link 1,Link 1 Description,Link 2,Link 2 Description,Link 3,Link 3 Description
19,Cow Pea,80,8 hrs,3 to 5 days,7,400 to 500,"Protein, folate.",Plant diets.,Gas.,Cow Pea,https://www.sciencedirect.com/science/article/pii/S2666154322001168,Review of nutritional use of cowpea and phenolic contents,https://pmc.ncbi.nlm.nih.gov/articles/PMC6165398/,Antioxidant and Phytochemical Studies of Cowpeas,https://www.sciencesocieties.org/publications/csa-news/2025/may/cowpea-a-nutrient-rich-pulse-for-extreme-environments,Cowpea: A nutrient-rich pulse
20,Peas,100,8 hrs,8 hrs,7 to 9,250 to 350,Vitamin C/K.,"Kids, immunity.",Gout caution.,Peas,https://pmc.ncbi.nlm.nih.gov/articles/PMC10341148/,Comprehensive Review of Pea: Chemical Composition and Health Benefits,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2025.1550142/full,Nutritional composition and health benefits of peas,https://onlinelibrary.wiley.com/doi/10.1002/leg3.82,Potential health benefits of garden pea seeds and pods
21,Chickpea,125,8 hrs,8 hrs,7 to 9,250 to 350,"Protein, iron.",Weight control.,Bloating.,Chickpea,https://pmc.ncbi.nlm.nih.gov/articles/PMC10856887/,Chickpea: Origin,, Benefits and Symbiotic Relationship,https://ift.onlinelibrary.wiley.com/doi/10.1111/1541-4337.70152,Comprehensive review of chickpea nutritional composition and health benefits
22,Groundnut,150,8 to 12 hrs,5 to 7 days,7 to 9,150 to 250,"Healthy fats, niacin.",Energy diets.,Peanut allergy.,Groundnut,https://pmc.ncbi.nlm.nih.gov/articles/PMC4711439/,Peanuts as functional food: a review,https://www.sciencedirect.com/science/article/abs/pii/S0889157525003898,Peanuts in food industry and health benefits,https://www.texilajournal.com/thumbs/article/Public_Health_Vol10_Issue3_Article_12.pdf,Nutritional and Health Benefits of Peanut
23,Velvet Bean,150,8 hrs,7 to 10 days,5 to 7,50,"L-DOPA, protein.",Neurological health.,Toxic in excess.,Velvet Bean,https://pmc.ncbi.nlm.nih.gov/articles/PMC3942911/,The Magic Velvet Bean of Mucuna pruriens,https://www.sciencedirect.com/science/article/pii/S2666154323004283,Nutritional significance of velvet bean,https://journals.sbmu.ac.ir/afb/article/view/44643,Velvet Beans as Novel Prebiotic Sources
24,Coriander,30,3 days,3 days,10 to 14,50 to 100,"Vitamin K, detox.",Digestion.,Allergy rare.,Coriander,https://pmc.ncbi.nlm.nih.gov/articles/PMC10220854/,Coriander Polyphenols and Their Nutraceutical Value against Obesity,https://pmc.ncbi.nlm.nih.gov/articles/PMC8747064/,Coriandrum sativum: Ethnopharmacology and Cardiovascular Benefits,https://jddtonline.info/index.php/jddt/article/download/7340/6981,Coriandrum sativum: Review of Botany
25,Fennel,30,8 to 12 hrs,6 to 8 days,14,50 to 100,Gut soothing.,Hormonal balance.,Hormone-sensitive issues.,Fennel,https://pmc.ncbi.nlm.nih.gov/articles/PMC9269469/,Effect of fennel seed extract on intestinal barrier function,https://www.tandfonline.com/doi/full/10.1080/10942912.2023.2192436,Pharmacological and nutraceutical attributes of fennel,https://www.sciencedirect.com/science/article/abs/pii/S0040816624000867,Fennel seeds extract prevents fructose-induced cardiac dysfunction
26,Gongura,40,4 to 8 hrs,5 to 10 days,10 to 12,250 to 350,"Vitamin A/C, iron.",Anemia.,Acidity.,Gongura,https://www.researchgate.net/publication/325362131_South_Indian_leafy_vegetable_Gongura_Hibiscus_sabdariffa_L_as_an_important_medicinal_herb_a_review,South Indian Gongura as medicinal herb,https://www.informaticsjournals.co.in/index.php/jnr/article/view/29281,Pharmacological Activities of Gongura Leaf,https://www.sciencedirect.com/science/article/pii/S2772753X23002587,Proximate composition and health benefit of Roselle leaf
27,Dill,30,4 to 8 hrs,7 to 10 days,21,30 to 90,Digestion aid.,Gas relief.,Pregnancy caution.,Dill,https://pmc.ncbi.nlm.nih.gov/articles/PMC8535990/,Anti-Inflammation Effects of Dill Seeds on Esophageal Mucosa,https://journals.lww.com/nutritiontodayonline/fulltext/2023/05000/dill__potential_health_benefits.9.aspx,Dill: Potential Health Benefits,https://pmc.ncbi.nlm.nih.gov/articles/PMC3555834/,Effect of dill on metabolic markers in metabolic syndrome
28,Toor Dal,80,8 to 12 hrs,5 to 7 days,12 to 17,150 to 250,"Protein, folate.",Pregnancy support.,Gas.,Toor Dal,https://pmc.ncbi.nlm.nih.gov/articles/PMC3255353/,Biological activities and medicinal properties of Cajanus cajan,https://ijirt.org/publishedpaper/IJIRT153233_PAPER.pdf,Cajanus cajan: Nutritional Value,https://www.wisdomlib.org/science/journal/world-journal-of-pharmaceutical-research/d/doc1386843.html,Toor Daal: Ayurvedic Perspectives and Nutritional Benefits
29,Sesbania,40,8 hrs,3 to 5 days,10 to 12,150 to 250,"Protein, calcium.",Malnutrition.,Limited data.,Sesbania,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807938/,Review on Medicinal Uses and Phytochemicals of Sesbania sesban,https://www.researchgate.net/publication/307601150_Sesbania_sesban_A_Plant_with_Diverse_Therapeutic_Benefits_An_Overview,Sesbania sesban: A Plant with Diverse Therapeutic Benefits,https://www.msjonline.org/index.php/ijrms/article/view/7798,Pharmacological effects of Sesbania sesban
30,Carrot,30,3 days,10 to 13 days,30 to 80,30 to 80,Beta-carotene.,Vision.,Vitamin A excess.,Carrot,https://pmc.ncbi.nlm.nih.gov/articles/PMC10781147/,The Wild Carrot: Phytochemical and Pharmacological Review,https://www.scirp.org/journal/paperinformation?paperid=52066,Nutritional and Health Benefits of Carrots and Their Seed Extracts,https://www.researchgate.net/publication/276499931_Nutritional_and_Health_Benefits_of_Carrots_and_Their_Seed_Extracts,Nutritional and Health Benefits of Carrot Seeds
31,Broccoli,30,8 to 12 hrs,3 to 6 days,7,200 to 300,Sulforaphane.,Detox.,Gas.,Broccoli,https://pmc.ncbi.nlm.nih.gov/articles/PMC23369/,Broccoli sprouts: rich source of inducers of enzymes protecting against carcinogens,https://www.sciencedirect.com/science/article/abs/pii/S0261561418301183,Effects of broccoli sprouts on inflammatory markers,https://pmc.ncbi.nlm.nih.gov/articles/PMC6915343/,Broccoli Sprouts as Food Source for Bioactive Properties
32,Kale,30,6 to 12 hrs,3 to 6 days,10 to 14,150 to 250,Vitamins A/C/K.,Anti-aging.,Oxalates.,Kale,https://pmc.ncbi.nlm.nih.gov/articles/PMC8706317/,Improving Health-Benefits of Kales through Abiotic Stresses,https://pmc.ncbi.nlm.nih.gov/articles/PMC12610807/,Nutritional,https://www.tandfonline.com/doi/full/10.1080/23311932.2020.1811048,Kale: nutritional composition and health beneficial properties
33,Purple Basil,20,4 to 8 hrs,5 to 7 days,12 to 16,50 to 180,Antioxidants.,Stress relief.,Low sugar risk.,Purple Basil,https://pmc.ncbi.nlm.nih.gov/articles/PMC8303141/,Basil Seeds as Novel Food with Beneficial Properties,https://www.sciencedirect.com/science/article/pii/S2772502225001696,Comprehensive review on basil seeds as source of nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC10237160/,Anti-inflammatory and anti-oxidant effects of Ocimum basilicum
