seed_type,seed_name,difficulty,base_yield,growth_days,ideal_temp,ideal_humidity,avg_temp,avg_humidity,temp_deviation,humidity_deviation,watering_consistency,temp_stress_days,humidity_stress_days,missed_watering_days,max_temp,min_temp,max_humidity,min_humidity,latest_height,latest_density,avg_height,avg_density,final_yield,yield_efficiency,daily_logs_json
bean-greens,Bean Greens,Medium,150.0,30,22.0,50.0,21.7,48.74,1.05,4.07,0.97,1,1,1,24.0,15.9,58.3,31.0,7.06,0.887,3.77,0.518,74.5,0.497,"[{""day"": 1, ""temperature"": 23.2, ""humidity"": 52.2, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.104, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.2, ""humidity"": 42.6, ""watered"": true, ""canopy_height"": 0.18, ""canopy_density"": 0.143, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.1, ""humidity"": 52.4, ""watered"": true, ""canopy_height"": 0.13, ""canopy_density"": 0.191, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 23.7, ""humidity"": 51.4, ""watered"": true, ""canopy_height"": 0.15, ""canopy_density"": 0.183, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 20.9, ""humidity"": 45.3, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.23, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.1, ""humidity"": 54.4, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.27, ""phase"": ""light""}, {""day"": 7, ""temperature"": 22.3, ""humidity"": 49.7, ""watered"": true, ""canopy_height"": 0.24, ""canopy_density"": 0.281, ""phase"": ""light""}, {""day"": 8, ""temperature"": 22.7, ""humidity"": 42.3, ""watered"": true, ""canopy_height"": 0.37, ""canopy_density"": 0.333, ""phase"": ""light""}, {""day"": 9, ""temperature"": 21.9, ""humidity"": 53.6, ""watered"": true, ""canopy_height"": 0.46, ""canopy_density"": 0.399, ""phase"": ""light""}, {""day"": 10, ""temperature"": 24.0, ""humidity"": 52.8, ""watered"": true, ""canopy_height"": 0.53, ""canopy_density"": 0.418, ""phase"": ""light""}, {""day"": 11, ""temperature"": 21.8, ""humidity"": 57.5, ""watered"": true, ""canopy_height"": 1.1, ""canopy_density"": 0.439, ""phase"": ""light""}, {""day"": 12, ""temperature"": 20.8, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 1.41, ""canopy_density"": 0.463, ""phase"": ""light""}, {""day"": 13, ""temperature"": 21.6, ""humidity"": 53.8, ""watered"": true, ""canopy_height"": 2.09, ""canopy_density"": 0.456, ""phase"": ""light""}, {""day"": 14, ""temperature"": 15.9, ""humidity"": 40.4, ""watered"": true, ""canopy_height"": 2.6, ""canopy_density"": 0.529, ""phase"": ""light""}, {""day"": 15, ""temperature"": 22.0, ""humidity"": 45.5, ""watered"": true, ""canopy_height"": 3.85, ""canopy_density"": 0.575, ""phase"": ""light""}, {""day"": 16, ""temperature"": 21.0, ""humidity"": 44.9, ""watered"": true, ""canopy_height"": 4.51, ""canopy_density"": 0.578, ""phase"": ""light""}, {""day"": 17, ""temperature"": 20.7, ""humidity"": 51.8, ""watered"": true, ""canopy_height"": 5.72, ""canopy_density"": 0.561, ""phase"": ""light""}, {""day"": 18, ""temperature"": 20.0, ""humidity"": 50.2, ""watered"": true, ""canopy_height"": 6.2, ""canopy_density"": 0.582, ""phase"": ""light""}, {""day"": 19, ""temperature"": 23.7, ""humidity"": 51.0, ""watered"": true, ""canopy_height"": 7.07, ""canopy_density"": 0.713, ""phase"": ""light""}, {""day"": 20, ""temperature"": 21.9, ""humidity"": 47.0, ""watered"": true, ""canopy_height"": 6.88, ""canopy_density"": 0.65, ""phase"": ""light""}, {""day"": 21, ""temperature"": 23.7, ""humidity"": 31.0, ""watered"": false, ""canopy_height"": 5.26, ""canopy_density"": 0.582, ""phase"": ""light""}, {""day"": 22, ""temperature"": 22.1, ""humidity"": 44.7, ""watered"": true, ""canopy_height"": 7.36, ""canopy_density"": 0.685, ""phase"": ""light""}, {""day"": 23, ""temperature"": 21.7, ""humidity"": 49.3, ""watered"": true, ""canopy_height"": 7.13, ""canopy_density"": 0.794, ""phase"": ""light""}, {""day"": 24, ""temperature"": 22.7, ""humidity"": 52.7, ""watered"": true, ""canopy_height"": 6.51, ""canopy_density"": 0.587, ""phase"": ""light""}, {""day"": 25, ""temperature"": 21.5, ""humidity"": 45.5, ""watered"": true, ""canopy_height"": 7.0, ""canopy_density"": 0.734, ""phase"": ""light""}, {""day"": 26, ""temperature"": 23.0, ""humidity"": 58.3, ""watered"": true, ""canopy_height"": 6.94, ""canopy_density"": 0.744, ""phase"": ""light""}, {""day"": 27, ""temperature"": 20.9, ""humidity"": 47.3, ""watered"": true, ""canopy_height"": 7.47, ""canopy_density"": 0.698, ""phase"": ""light""}, {""day"": 28, ""temperature"": 20.4, ""humidity"": 48.6, ""watered"": true, ""canopy_height"": 7.38, ""canopy_density"": 0.797, ""phase"": ""light""}, {""day"": 29, ""temperature"": 20.1, ""humidity"": 49.7, ""watered"": true, ""canopy_height"": 7.09, ""canopy_density"": 0.937, ""phase"": ""light""}, {""day"": 30, ""temperature"": 21.4, ""humidity"": 47.8, ""watered"": true, ""canopy_height"": 7.06, ""canopy_density"": 0.887, ""phase"": ""light""}]"
broccoli,Broccoli,Medium,200.0,7,22.0,50.0,20.8,43.74,1.71,7.91,0.86,1,1,1,23.3,15.0,55.8,25.0,6.36,0.99,3.8,0.523,156.9,0.784,"[{""day"": 1, ""temperature"": 21.7, ""humidity"": 48.2, ""watered"": true, ""canopy_height"": 1.93, ""canopy_density"": 0.217, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 23.3, ""humidity"": 55.8, ""watered"": true, ""canopy_height"": 2.83, ""canopy_density"": 0.396, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 15.0, ""humidity"": 25.0, ""watered"": false, ""canopy_height"": 1.4, ""canopy_density"": 0.185, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.0, ""humidity"": 47.4, ""watered"": true, ""canopy_height"": 3.77, ""canopy_density"": 0.589, ""phase"": ""light""}, {""day"": 5, ""temperature"": 22.5, ""humidity"": 37.3, ""watered"": true, ""canopy_height"": 4.53, ""canopy_density"": 0.582, ""phase"": ""light""}, {""day"": 6, ""temperature"": 20.1, ""humidity"": 49.8, ""watered"": true, ""canopy_height"": 5.77, ""canopy_density"": 0.699, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.0, ""humidity"": 42.7, ""watered"": true, ""canopy_height"": 6.36, ""canopy_density"": 0.99, ""phase"": ""light""}]"
toor-dal,Toor Dal,Medium,150.0,12,22.0,50.0,21.92,49.11,1.18,4.76,1.0,1,1,0,23.7,18.4,67.6,43.3,7.26,0.971,3.92,0.547,135.7,0.905,"[{""day"": 1, ""temperature"": 23.4, ""humidity"": 52.9, ""watered"": true, ""canopy_height"": 0.55, ""canopy_density"": 0.205, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.2, ""humidity"": 51.0, ""watered"": true, ""canopy_height"": 1.0, ""canopy_density"": 0.185, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.0, ""humidity"": 43.3, ""watered"": true, ""canopy_height"": 1.28, ""canopy_density"": 0.307, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.6, ""humidity"": 51.7, ""watered"": true, ""canopy_height"": 2.58, ""canopy_density"": 0.488, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 21.7, ""humidity"": 46.5, ""watered"": true, ""canopy_height"": 2.85, ""canopy_density"": 0.48, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 20.9, ""humidity"": 43.4, ""watered"": true, ""canopy_height"": 3.92, ""canopy_density"": 0.491, ""phase"": ""light""}, {""day"": 7, ""temperature"": 18.4, ""humidity"": 43.6, ""watered"": true, ""canopy_height"": 4.86, ""canopy_density"": 0.577, ""phase"": ""light""}, {""day"": 8, ""temperature"": 23.7, ""humidity"": 67.6, ""watered"": true, ""canopy_height"": 2.92, ""canopy_density"": 0.321, ""phase"": ""light""}, {""day"": 9, ""temperature"": 23.6, ""humidity"": 49.5, ""watered"": true, ""canopy_height"": 6.01, ""canopy_density"": 0.781, ""phase"": ""light""}, {""day"": 10, ""temperature"": 22.6, ""humidity"": 45.8, ""watered"": true, ""canopy_height"": 6.8, ""canopy_density"": 0.844, ""phase"": ""light""}, {""day"": 11, ""temperature"": 20.2, ""humidity"": 49.1, ""watered"": true, ""canopy_height"": 7.07, ""canopy_density"": 0.913, ""phase"": ""light""}, {""day"": 12, ""temperature"": 22.7, ""humidity"": 44.9, ""watered"": true, ""canopy_height"": 7.26, ""canopy_density"": 0.971, ""phase"": ""light""}]"
sesame,Sesame,Medium,250.0,7,22.0,50.0,22.01,49.96,0.87,0.87,1.0,0,0,0,23.7,20.8,51.2,48.3,6.32,0.907,4.07,0.554,238.5,0.954,"[{""day"": 1, ""temperature"": 21.2, ""humidity"": 51.2, ""watered"": true, ""canopy_height"": 1.63, ""canopy_density"": 0.18, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.6, ""humidity"": 51.2, ""watered"": true, ""canopy_height"": 2.57, ""canopy_density"": 0.354, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 23.7, ""humidity"": 50.1, ""watered"": true, ""canopy_height"": 3.22, ""canopy_density"": 0.492, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 23.4, ""humidity"": 48.3, ""watered"": true, ""canopy_height"": 4.07, ""canopy_density"": 0.578, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.8, ""humidity"": 50.4, ""watered"": true, ""canopy_height"": 4.82, ""canopy_density"": 0.626, ""phase"": ""light""}, {""day"": 6, ""temperature"": 21.6, ""humidity"": 50.0, ""watered"": true, ""canopy_height"": 5.84, ""canopy_density"": 0.743, ""phase"": ""light""}, {""day"": 7, ""temperature"": 20.8, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 6.32, ""canopy_density"": 0.907, ""phase"": ""light""}]"
fennel,Fennel,Medium,50.0,14,22.0,50.0,22.02,50.26,0.94,4.66,1.0,0,0,0,24.0,20.0,58.5,42.0,7.92,0.983,4.1,0.564,48.5,0.97,"[{""day"": 1, ""temperature"": 23.0, ""humidity"": 55.8, ""watered"": true, ""canopy_height"": 0.77, ""canopy_density"": 0.125, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.7, ""humidity"": 53.0, ""watered"": true, ""canopy_height"": 0.41, ""canopy_density"": 0.196, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.8, ""humidity"": 42.3, ""watered"": true, ""canopy_height"": 0.7, ""canopy_density"": 0.291, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.3, ""humidity"": 58.0, ""watered"": true, ""canopy_height"": 1.51, ""canopy_density"": 0.332, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 21.0, ""humidity"": 53.2, ""watered"": true, ""canopy_height"": 1.73, ""canopy_density"": 0.405, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 23.0, ""humidity"": 46.0, ""watered"": true, ""canopy_height"": 2.87, ""canopy_density"": 0.422, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 24.0, ""humidity"": 50.0, ""watered"": true, ""canopy_height"": 3.94, ""canopy_density"": 0.537, ""phase"": ""light""}, {""day"": 8, ""temperature"": 21.8, ""humidity"": 42.0, ""watered"": true, ""canopy_height"": 4.77, ""canopy_density"": 0.588, ""phase"": ""light""}, {""day"": 9, ""temperature"": 22.0, ""humidity"": 52.9, ""watered"": true, ""canopy_height"": 5.56, ""canopy_density"": 0.702, ""phase"": ""light""}, {""day"": 10, ""temperature"": 20.1, ""humidity"": 46.3, ""watered"": true, ""canopy_height"": 6.19, ""canopy_density"": 0.751, ""phase"": ""light""}, {""day"": 11, ""temperature"": 21.4, ""humidity"": 53.1, ""watered"": true, ""canopy_height"": 6.73, ""canopy_density"": 0.781, ""phase"": ""light""}, {""day"": 12, ""temperature"": 23.1, ""humidity"": 44.1, ""watered"": true, ""canopy_height"": 7.11, ""canopy_density"": 0.855, ""phase"": ""light""}, {""day"": 13, ""temperature"": 20.0, ""humidity"": 58.5, ""watered"": true, ""canopy_height"": 7.26, ""canopy_density"": 0.923, ""phase"": ""light""}, {""day"": 14, ""temperature"": 22.1, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 7.92, ""canopy_density"": 0.983, ""phase"": ""light""}]"
fennel,Fennel,Medium,50.0,14,22.0,50.0,21.63,53.61,2.17,8.92,0.93,4,3,1,26.1,16.8,70.2,37.7,6.38,0.824,3.53,0.503,15.0,0.3,"[{""day"": 1, ""temperature"": 22.0, ""humidity"": 55.8, ""watered"": true, ""canopy_height"": 0.6, ""canopy_density"": 0.14, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 16.8, ""humidity"": 55.3, ""watered"": true, ""canopy_height"": 0.8, ""canopy_density"": 0.176, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 24.8, ""humidity"": 53.7, ""watered"": false, ""canopy_height"": 0.77, ""canopy_density"": 0.288, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.1, ""humidity"": 69.4, ""watered"": true, ""canopy_height"": 1.05, ""canopy_density"": 0.315, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 23.2, ""humidity"": 51.4, ""watered"": true, ""canopy_height"": 1.5, ""canopy_density"": 0.417, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 18.1, ""humidity"": 44.1, ""watered"": true, ""canopy_height"": 2.99, ""canopy_density"": 0.431, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 22.2, ""humidity"": 37.7, ""watered"": true, ""canopy_height"": 3.35, ""canopy_density"": 0.486, ""phase"": ""light""}, {""day"": 8, ""temperature"": 24.3, ""humidity"": 70.2, ""watered"": true, ""canopy_height"": 3.97, ""canopy_density"": 0.55, ""phase"": ""light""}, {""day"": 9, ""temperature"": 22.9, ""humidity"": 42.7, ""watered"": true, ""canopy_height"": 4.85, ""canopy_density"": 0.588, ""phase"": ""light""}, {""day"": 10, ""temperature"": 23.0, ""humidity"": 47.8, ""watered"": true, ""canopy_height"": 5.1, ""canopy_density"": 0.58, ""phase"": ""light""}, {""day"": 11, ""temperature"": 19.7, ""humidity"": 54.8, ""watered"": true, ""canopy_height"": 5.65, ""canopy_density"": 0.677, ""phase"": ""light""}, {""day"": 12, ""temperature"": 18.3, ""humidity"": 68.7, ""watered"": true, ""canopy_height"": 6.21, ""canopy_density"": 0.743, ""phase"": ""light""}, {""day"": 13, ""temperature"": 26.1, ""humidity"": 40.5, ""watered"": true, ""canopy_height"": 6.15, ""canopy_density"": 0.82, ""phase"": ""light""}, {""day"": 14, ""temperature"": 19.3, ""humidity"": 58.4, ""watered"": true, ""canopy_height"": 6.38, ""canopy_density"": 0.824, ""phase"": ""light""}]"
fennel,Fennel,Medium,50.0,14,22.0,50.0,22.46,48.36,1.27,4.32,1.0,1,1,0,26.8,19.3,56.2,33.4,7.13,0.834,3.77,0.545,29.9,0.598,"[{""day"": 1, ""temperature"": 19.3, ""humidity"": 45.6, ""watered"": true, ""canopy_height"": 0.28, ""canopy_density"": 0.248, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.7, ""humidity"": 54.8, ""watered"": true, ""canopy_height"": 0.56, ""canopy_density"": 0.259, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.1, ""humidity"": 56.2, ""watered"": true, ""canopy_height"": 0.81, ""canopy_density"": 0.268, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 22.2, ""humidity"": 43.1, ""watered"": true, ""canopy_height"": 1.72, ""canopy_density"": 0.289, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 23.0, ""humidity"": 45.1, ""watered"": true, ""canopy_height"": 1.66, ""canopy_density"": 0.355, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 21.7, ""humidity"": 53.6, ""watered"": true, ""canopy_height"": 2.59, ""canopy_density"": 0.465, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 23.4, ""humidity"": 49.9, ""watered"": true, ""canopy_height"": 4.01, ""canopy_density"": 0.602, ""phase"": ""light""}, {""day"": 8, ""temperature"": 20.3, ""humidity"": 48.4, ""watered"": true, ""canopy_height"": 4.73, ""canopy_density"": 0.606, ""phase"": ""light""}, {""day"": 9, ""temperature"": 23.4, ""humidity"": 50.4, ""watered"": true, ""canopy_height"": 5.44, ""canopy_density"": 0.668, ""phase"": ""light""}, {""day"": 10, ""temperature"": 22.5, ""humidity"": 50.5, ""watered"": true, ""canopy_height"": 6.55, ""canopy_density"": 0.813, ""phase"": ""light""}, {""day"": 11, ""temperature"": 26.8, ""humidity"": 33.4, ""watered"": true, ""canopy_height"": 3.07, ""canopy_density"": 0.415, ""phase"": ""light""}, {""day"": 12, ""temperature"": 22.7, ""humidity"": 53.3, ""watered"": true, ""canopy_height"": 7.04, ""canopy_density"": 0.877, ""phase"": ""light""}, {""day"": 13, ""temperature"": 23.3, ""humidity"": 46.4, ""watered"": true, ""canopy_height"": 7.17, ""canopy_density"": 0.926, ""phase"": ""light""}, {""day"": 14, ""temperature"": 21.0, ""humidity"": 46.4, ""watered"": true, ""canopy_height"": 7.13, ""canopy_density"": 0.834, ""phase"": ""light""}]"
dill,Dill,Medium,30.0,21,22.0,50.0,21.91,49.19,1.14,3.99,1.0,1,0,0,23.8,18.6,56.1,41.5,7.49,0.96,4.02,0.552,16.5,0.55,"[{""day"": 1, ""temperature"": 18.6, ""humidity"": 53.8, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.093, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.4, ""humidity"": 49.3, ""watered"": true, ""canopy_height"": 0.1, ""canopy_density"": 0.136, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 22.5, ""humidity"": 51.5, ""watered"": true, ""canopy_height"": 0.27, ""canopy_density"": 0.277, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.2, ""humidity"": 53.4, ""watered"": true, ""canopy_height"": 0.33, ""canopy_density"": 0.215, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 21.3, ""humidity"": 49.6, ""watered"": true, ""canopy_height"": 0.45, ""canopy_density"": 0.351, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 20.8, ""humidity"": 43.2, ""watered"": true, ""canopy_height"": 0.67, ""canopy_density"": 0.317, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 22.5, ""humidity"": 45.2, ""watered"": true, ""canopy_height"": 1.15, ""canopy_density"": 0.375, ""phase"": ""blackout""}, {""day"": 8, ""temperature"": 23.7, ""humidity"": 42.7, ""watered"": true, ""canopy_height"": 1.73, ""canopy_density"": 0.484, ""phase"": ""light""}, {""day"": 9, ""temperature"": 22.0, ""humidity"": 41.5, ""watered"": true, ""canopy_height"": 2.39, ""canopy_density"": 0.453, ""phase"": ""light""}, {""day"": 10, ""temperature"": 23.8, ""humidity"": 48.6, ""watered"": true, ""canopy_height"": 3.61, ""canopy_density"": 0.575, ""phase"": ""light""}, {""day"": 11, ""temperature"": 22.7, ""humidity"": 43.9, ""watered"": true, ""canopy_height"": 4.46, ""canopy_density"": 0.604, ""phase"": ""light""}, {""day"": 12, ""temperature"": 19.3, ""humidity"": 56.1, ""watered"": true, ""canopy_height"": 5.06, ""canopy_density"": 0.547, ""phase"": ""light""}, {""day"": 13, ""temperature"": 20.5, ""humidity"": 55.7, ""watered"": true, ""canopy_height"": 5.54, ""canopy_density"": 0.574, ""phase"": ""light""}, {""day"": 14, ""temperature"": 23.5, ""humidity"": 55.7, ""watered"": true, ""canopy_height"": 6.4, ""canopy_density"": 0.782, ""phase"": ""light""}, {""day"": 15, ""temperature"": 23.0, ""humidity"": 45.8, ""watered"": true, ""canopy_height"": 7.0, ""canopy_density"": 0.726, ""phase"": ""light""}, {""day"": 16, ""temperature"": 20.3, ""humidity"": 52.1, ""watered"": true, ""canopy_height"": 7.15, ""canopy_density"": 0.693, ""phase"": ""light""}, {""day"": 17, ""temperature"": 22.6, ""humidity"": 44.4, ""watered"": true, ""canopy_height"": 7.49, ""canopy_density"": 0.811, ""phase"": ""light""}, {""day"": 18, ""temperature"": 21.7, ""humidity"": 50.5, ""watered"": true, ""canopy_height"": 7.62, ""canopy_density"": 0.753, ""phase"": ""light""}, {""day"": 19, ""temperature"": 22.8, ""humidity"": 45.9, ""watered"": true, ""canopy_height"": 7.45, ""canopy_density"": 0.874, ""phase"": ""light""}, {""day"": 20, ""temperature"": 22.5, ""humidity"": 54.6, ""watered"": true, ""canopy_height"": 7.96, ""canopy_density"": 0.991, ""phase"": ""light""}, {""day"": 21, ""temperature"": 23.5, ""humidity"": 49.5, ""watered"": true, ""canopy_height"": 7.49, ""canopy_density"": 0.96, ""phase"": ""light""}]"
chickpea,Chickpea,Medium,250.0,7,22.0,50.0,21.91,50.39,1.51,4.39,1.0,1,0,0,24.5,18.0,56.1,43.7,4.84,0.698,3.87,0.517,243.3,0.973,"[{""day"": 1, ""temperature"": 22.1, ""humidity"": 50.9, ""watered"": true, ""canopy_height"": 1.72, ""canopy_density"": 0.227, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 23.9, ""humidity"": 44.4, ""watered"": true, ""canopy_height"": 2.52, ""canopy_density"": 0.325, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 20.4, ""humidity"": 56.1, ""watered"": true, ""canopy_height"": 3.66, ""canopy_density"": 0.414, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 24.5, ""humidity"": 54.1, ""watered"": true, ""canopy_height"": 4.11, ""canopy_density"": 0.557, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 22.1, ""humidity"": 47.9, ""watered"": true, ""canopy_height"": 5.09, ""canopy_density"": 0.682, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 22.4, ""humidity"": 43.7, ""watered"": true, ""canopy_height"": 5.18, ""canopy_density"": 0.716, ""phase"": ""blackout""}, {""day"": 7, ""temperature"": 18.0, ""humidity"": 55.6, ""watered"": true, ""canopy_height"": 4.84, ""canopy_density"": 0.698, ""phase"": ""blackout""}]"
groundnut,Groundnut,Medium,150.0,7,22.0,50.0,21.59,49.06,1.44,3.29,0.86,1,0,1,25.5,19.6,58.2,46.1,6.26,0.943,4.01,0.548,134.0,0.893,"[{""day"": 1, ""temperature"": 21.3, ""humidity"": 58.2, ""watered"": true, ""canopy_height"": 1.93, ""canopy_density"": 0.223, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 22.1, ""humidity"": 48.5, ""watered"": true, ""canopy_height"": 2.93, ""canopy_density"": 0.362, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 25.5, ""humidity"": 47.2, ""watered"": false, ""canopy_height"": 2.66, ""canopy_density"": 0.339, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.2, ""humidity"": 46.1, ""watered"": true, ""canopy_height"": 4.01, ""canopy_density"": 0.528, ""phase"": ""blackout""}, {""day"": 5, ""temperature"": 20.9, ""humidity"": 47.2, ""watered"": true, ""canopy_height"": 4.93, ""canopy_density"": 0.681, ""phase"": ""blackout""}, {""day"": 6, ""temperature"": 20.5, ""humidity"": 49.0, ""watered"": true, ""canopy_height"": 5.36, ""canopy_density"": 0.762, ""phase"": ""light""}, {""day"": 7, ""temperature"": 19.6, ""humidity"": 47.2, ""watered"": true, ""canopy_height"": 6.26, ""canopy_density"": 0.943, ""phase"": ""light""}]"
radish-purple,Radish (Purple),Medium,200.0,7,22.0,50.0,22.83,51.47,1.2,6.39,0.86,1,0,1,26.9,21.3,62.0,39.5,5.5,0.73,3.74,0.485,157.0,0.785,"[{""day"": 1, ""temperature"": 22.0, ""humidity"": 60.8, ""watered"": true, ""canopy_height"": 1.59, ""canopy_density"": 0.121, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 23.4, ""humidity"": 62.0, ""watered"": true, ""canopy_height"": 2.2, ""canopy_density"": 0.349, ""phase"": ""light""}, {""day"": 3, ""temperature"": 26.9, ""humidity"": 50.7, ""watered"": true, ""canopy_height"": 3.23, ""canopy_density"": 0.443, ""phase"": ""light""}, {""day"": 4, ""temperature"": 22.7, ""humidity"": 39.5, ""watered"": true, ""canopy_height"": 4.26, ""canopy_density"": 0.487, ""phase"": ""light""}, {""day"": 5, ""temperature"": 22.1, ""humidity"": 48.3, ""watered"": false, ""canopy_height"": 4.46, ""canopy_density"": 0.553, ""phase"": ""light""}, {""day"": 6, ""temperature"": 21.3, ""humidity"": 54.0, ""watered"": true, ""canopy_height"": 4.91, ""canopy_density"": 0.714, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.4, ""humidity"": 45.0, ""watered"": true, ""canopy_height"": 5.5, ""canopy_density"": 0.73, ""phase"": ""light""}]"
cow-pea,Cow Pea,Medium,400.0,7,22.0,50.0,21.93,50.47,0.53,3.19,1.0,0,0,0,22.9,21.1,56.2,42.6,6.66,0.969,4.16,0.57,382.4,0.956,"[{""day"": 1, ""temperature"": 22.9, ""humidity"": 50.0, ""watered"": true, ""canopy_height"": 1.66, ""canopy_density"": 0.152, ""phase"": ""blackout""}, {""day"": 2, ""temperature"": 21.9, ""humidity"": 51.9, ""watered"": true, ""canopy_height"": 2.43, ""canopy_density"": 0.356, ""phase"": ""blackout""}, {""day"": 3, ""temperature"": 21.4, ""humidity"": 53.1, ""watered"": true, ""canopy_height"": 3.18, ""canopy_density"": 0.452, ""phase"": ""blackout""}, {""day"": 4, ""temperature"": 21.1, ""humidity"": 42.6, ""watered"": true, ""canopy_height"": 4.03, ""canopy_density"": 0.631, ""phase"": ""light""}, {""day"": 5, ""temperature"": 21.7, ""humidity"": 56.2, ""watered"": true, ""canopy_height"": 5.21, ""canopy_density"": 0.652, ""phase"": ""light""}, {""day"": 6, ""temperature"": 22.7, ""humidity"": 51.6, ""watered"": true, ""canopy_height"": 5.98, ""canopy_density"": 0.775, ""phase"": ""light""}, {""day"": 7, ""temperature"": 21.8, ""humidity"": 47.9, ""watered"": true, ""canopy_height"": 6.66, ""canopy_density"": 0.969, ""phase"": ""light""}]"
